p,74
m,71
k,70
d,68
y,56
a,43
x,40
l,34
q,30
t,30
c,29
o,25
f,21
e,19
h,19
b,8
g,8
u,8
s,7
z,5
n,2
i,0
j,0
r,0
v,0
w,0
