n,52
u,51
s,49
m,46
c,40
b,39
z,35
a,32
f,24
g,21
o,20
d,19
j,18
w,18
h,12
e,11
x,11
i,10
r,8
k,7
l,7
t,2
q,1
y,1
p,0
v,0
